iter	Passed	Remaining
1394	45347	19666
1395	45374	19631
1396	45403	19598
1397	45442	19568
1398	45486	19540
1399	45525	19510
1400	45565	19481
1401	45625	19460
1402	45663	19430
1403	45702	19400
1404	45735	19368
1405	45759	19332
1406	45817	19310
1407	45857	19281
1408	45900	19252
1409	45954	19229
1410	45987	19196
1411	46021	19164
1412	46057	19133
1413	46093	19102
1414	46124	19068
1415	46149	19033
1416	46173	18997
1417	46198	18961
1418	46219	18924
1419	46240	18887
1420	46262	18849
1421	46285	18813
1422	46309	18777
1423	46334	18741
1424	46358	18706
1425	46386	18671
1426	46416	18638
1427	46520	18634
1428	46559	18604
1429	46612	18580
1430	46644	18546
1431	46671	18512
1432	46705	18480
1433	46746	18450
1434	46783	18420
1435	46818	18388
1436	46866	18361
1437	46898	18328
1438	46926	18294
1439	46958	18261
1440	46989	18228
1441	47030	18199
1442	47067	18168
1443	47113	18140
1444	47146	18108
1445	47180	18076
1446	47215	18044
1447	47249	18012
1448	47288	17982
1449	47317	17948
1450	47348	17914
1451	47389	17885
1452	47425	17854
1453	47462	17823
1454	47497	17791
1455	47530	17758
1456	47561	17725
1457	47592	17691
1458	47635	17663
1459	47670	17631
1460	47712	17602
1461	47744	17569
1462	47775	17536
1463	47803	17502
1464	47849	17473
1465	47891	17444
1466	47927	17413
1467	47958	17380
1468	47991	17347
1469	48026	17315
1470	48068	17286
1471	48108	17256
1472	48150	17227
1473	48192	17197
1474	48228	17166
1475	48260	17133
1476	48295	17101
1477	48329	17069
1478	48362	17036
1479	48395	17003
1480	48422	16969
1481	48449	16934
1482	48479	16900
1483	48509	16867
1484	48545	16835
1485	48574	16801
1486	48603	16767
1487	48639	16736
1488	48672	16703
1489	48710	16672
1490	48744	16640
1491	48775	16607
1492	48804	16573
1493	48835	16540
1494	48874	16509
1495	48908	16477
1496	48937	16443
1497	48961	16407
1498	48984	16371
1499	49010	16336
1500	49034	16301
1501	49058	16265
1502	49084	16230
1503	49108	16195
1504	49137	16161
1505	49164	16126
1506	49193	16093
1507	49225	16060
1508	49258	16027
1509	49287	15993
1510	49326	15963
1511	49362	15931
1512	49390	15897
1513	49413	15862
1514	49441	15827
1515	49471	15794
1516	49504	15761
1517	49536	15728
1518	49565	15695
1519	49603	15664
1520	49638	15632
1521	49673	15600
1522	49706	15568
1523	49738	15535
1524	49771	15502
1525	49802	15469
1526	49834	15436
1527	49867	15404
1528	49903	15372
1529	49939	15340
1530	49972	15308
1531	50009	15277
1532	50048	15246
1533	50082	15214
1534	50120	15183
1535	50159	15152
1536	50192	15119
1537	50225	15087
1538	50257	15054
1539	50297	15023
1540	50340	14994
1541	50380	14963
1542	50415	14931
1543	50448	14899
1544	50494	14870
1545	50540	14841
1546	50578	14810
1547	50611	14778
1548	50637	14743
1549	50667	14709
1550	50698	14676
1551	50726	14642
1552	50754	14608
1553	50782	14574
1554	50814	14541
1555	50842	14507
1556	50870	14473
1557	50897	14439
1558	50922	14404
1559	50952	14371
1560	50986	14338
1561	51022	14307
1562	51054	14274
1563	51087	14241
1564	51118	14208
1565	51145	14174
1566	51171	14139
1567	51200	14106
1568	51232	14073
1569	51260	14039
1570	51285	14004
1571	51315	13971
1572	51351	13939
1573	51383	13906
1574	51414	13873
1575	51448	13841
1576	51481	13808
1577	51510	13775
1578	51538	13741
1579	51564	13706
1580	51593	13673
1581	51625	13640
1582	51658	13608
1583	51691	13575
1584	51727	13543
1585	51759	13511
1586	51796	13479
1587	51829	13447
1588	51863	13414
1589	51897	13382
1590	51930	13349
1591	51963	13317
1592	51996	13284
1593	52024	13250
1594	52051	13216
1595	52078	13182
1596	52111	13150
1597	52144	13117
1598	52177	13085
1599	52206	13051
1600	52233	13017
1601	52257	12982
1602	52279	12947
1603	52303	12912
1604	52325	12877
1605	52347	12842
1606	52372	12807
1607	52394	12772
1608	52420	12738
1609	52442	12703
1610	52465	12668
1611	52492	12634
1612	52517	12600
1613	52545	12566
1614	52576	12533
1615	52605	12500
1616	52637	12467
1617	52664	12433
1618	52690	12399
1619	52727	12368
1620	52761	12335
1621	52790	12302
1622	52824	12270
1623	52855	12237
1624	52887	12204
1625	53001	12190
1626	53038	12159
1627	53138	12142
1628	53208	12118
1629	53258	12089
1630	53291	12056
1631	53328	12025
1632	53365	11993
1633	53404	11962
1634	53440	11930
1635	53475	11897
1636	53508	11865
1637	53548	11834
1638	53585	11802
1639	53621	11770
1640	53653	11737
1641	53689	11705
